"id","country","gender","responseRate","status","tags","positiv_reviews","suitable_for_children","pets_allowed","smoking_allowed"
27001,"Costa Rica","female",-1,"maybe","",0,"False","False","False"
27008,"Cuba","other",-1,"yes","",0,"False","False","False"
27009,"Curaçao","male",-1,"maybe","",0,"False","False","False"
27012,"Democratic Republic of Congo","female",-1,"yes","",0,"False","False","False"
27013,"Denmark","female",-1,"yes","",0,"False","False","False"
27014,"Djibouti","male",-1,"maybe","",0,"False","False","False"
27015,"Dominica","male",94,"yes","   Thoughtful    Friendly    Fun    Knowledgeable    Reliable    Flexible",12,"False","False","False"
27016,"Dominican Republic","other",-1,"yes","",0,"False","False","False"
27017,"Ecuador","male",-1,"maybe","",0,"False","False","False"
27019,"El Salvador","female",-1,"yes","",1,"False","False","False"
27029,"Falkland Islands (Malvinas)","female",-1,"yes","",0,"True","False","False"
27031,"Fiji","male",-1,"maybe","",0,"False","False","False"
27032,"Finland","other",-1,"yes","",0,"False","False","False"
27041,"French Guiana","female",-1,"maybe","",0,"False","False","False"
27088,"Gambia","male",-1,"maybe","",8,"False","False","False"
27091,"Ghana","male",-1,"yes","",0,"False","False","False"
27092,"Greece","female",-1,"yes","",0,"False","False","False"
27095,"Guam","female",-1,"maybe","",0,"False","False","False"
27097,"Guyana","female",-1,"maybe","",0,"False","False","False"
27098,"Haiti","male",-1,"yes","",0,"False","False","False"
27099,"Hong Kong","male",98,"yes","   Friendly    Flexible    Reliable    Fun    Thoughtful    Knowledgeable",22,"True","False","False"
27104,"Iceland","male",-1,"yes","",0,"False","False","False"
27136,"India","male",-1,"yes","",0,"False","False","False"
27138,"Iran","male",-1,"yes","",0,"False","False","False"
27168,"Ireland","other",-1,"maybe","",0,"False","False","False"
27184,"Isle of Man","female",-1,"yes","",0,"False","False","False"
27186,"Italy","male",-1,"yes","",0,"False","False","False"
27187,"Jamaica","female",-1,"yes","",2,"False","False","False"
27189,"Jordan","other",-1,"yes","",7,"True","False","False"
27190,"Kazakhstan","male",-1,"maybe","",0,"False","False","False"
27191,"Kuwait","male",-1,"yes","",0,"False","False","False"
27193,"Latvia","female",-1,"yes","",0,"False","False","False"
27195,"Libya","male",-1,"maybe","",0,"False","False","False"
27199,"Macedonia","male",-1,"yes","",0,"False","False","False"
27200,"Madagascar","male",-1,"maybe","",0,"False","False","False"
27203,"Mali","other",-1,"yes","",0,"False","False","False"
27204,"Malta","female",-1,"yes","",0,"False","False","False"
27205,"Martinique","male",-1,"maybe","",0,"False","False","False"
27206,"Mauritania","male",-1,"maybe","",0,"False","False","False"
27207,"Mexico","male",-1,"yes","",0,"False","False","False"
27210,"Mongolia","male",-1,"maybe","",0,"False","False","False"
27211,"Montenegro","female",-1,"maybe","",0,"False","False","False"
27212,"Montserrat","female",-1,"yes","",4,"True","False","False"
27215,"Namibia","female",-1,"yes","",0,"False","False","False"
27232,"Nepal","male",-1,"maybe","",0,"False","False","False"
27249,"Netherlands Antilles","male",-1,"maybe","   Respectful    Friendly    Knowledgeable    Fun    Flexible    Thoughtful",23,"False","False","False"
27250,"New Caledonia","female",-1,"maybe","",0,"False","False","False"
27266,"North Korea","male",-1,"maybe","",0,"False","False","False"
27268,"Northern Mariana Islands","male",-1,"yes","",1,"True","False","False"
27269,"Norway","other",-1,"maybe","",0,"False","False","False"
27299,"Poland","male",-1,"yes","",0,"False","False","False"
27301,"Puerto Rico","female",-1,"yes","",0,"False","False","False"
27302,"Qatar","male",71,"yes","",1,"False","False","False"
27303,"Romania","male",-1,"yes","",0,"False","False","False"
27312,"Russian Federation","male",-1,"yes","",0,"False","False","False"
27328,"Rwanda","female",-1,"maybe","",10,"False","False","False"
27330,"Saint Lucia","male",50,"maybe","   Friendly    Knowledgeable",6,"True","False","False"
27331,"Saint Martin (French part)","female",-1,"yes","",0,"False","False","False"
27333,"Saint Vincent and the Grenadines","female",-1,"maybe","",0,"False","False","False"
27335,"San Marino","male",-1,"maybe","",0,"False","False","False"
27338,"Scotland","female",-1,"maybe","",1,"True","False","False"
27339,"Senegal","male",-1,"yes","",0,"False","False","False"
27340,"Serbia","male",-1,"yes","",0,"False","False","False"
27343,"Singapore","female",-1,"yes","",0,"False","False","False"
27361,"Slovenia","female",-1,"yes","",0,"False","False","False"
27362,"Somalia","female",-1,"yes","",0,"False","False","True"
27366,"Spain","male",-1,"maybe","",16,"False","False","False"
27367,"Sri Lanka","other",-1,"yes","",0,"False","False","False"
27369,"Suriname","other",-1,"yes","",0,"False","False","False"
27373,"Syrian Arab Republic","male",-1,"yes","",0,"False","False","False"
27374,"Taiwan","male",-1,"yes","",0,"False","False","False"
27378,"Trinidad and Tobago","male",-1,"maybe","",0,"False","False","False"
27379,"Tunisia","male",-1,"maybe","",0,"False","False","False"
27381,"Turkmenistan","male",-1,"yes","",0,"False","False","False"
27383,"Uganda","female",-1,"yes","",0,"False","False","False"
27385,"United Arab Emirates","male",-1,"yes","",0,"False","False","False"
